42.89,40.47,40.50,37.38,39.59,43.69,45.86,43.24,43.53,44.50,84.53,100.00,85.66,83.97,89.05,41.97,45.34,46.18,46.30,49.07,44.11,42.02,48.80,47.11,46.26,42.12,38.13,43.28,46.41,42.14,43.10,45.68,42.94,47.51,45.06
43.35,43.51,39.59,41.35,41.02,45.35,47.37,46.99,44.65,47.96,77.99,85.66,100.00,78.86,83.88,45.16,45.79,49.54,47.18,47.02,41.71,43.57,48.59,44.74,45.13,46.77,44.37,46.05,45.40,45.86,41.63,43.81,42.20,45.88,43.32
43.74,42.12,46.66,41.30,42.71,47.14,46.65,45.38,46.28,48.06,82.65,83.97,78.86,100.00,81.68,45.04,46.23,44.86,47.17,46.77,44.09,45.97,49.96,44.59,46.52,42.84,42.15,45.55,43.61,44.97,44.51,44.40,43.65,43.96,45.46
43.81,43.43,42.39,38.59,44.69,43.90,43.06,43.07,47.56,43.47,79.20,89.05,83.88,81.68,100.00,48.91,48.63,50.19,50.10,50.13,43.79,41.88,43.48,43.42,45.06,46.63,42.84,46.27,49.18,44.59,39.35,41.09,37.56,44.12,40.98
46.61,42.54,40.13,41.33,45.38,50.97,48.42,43.97,47.84,45.92,39.86,41.97,45.16,45.04,48.91,100.00,86.96,83.57,80.87,78.46,44.29,45.59,43.64,39.92,54.11,43.78,46.92,43.32,46.95,47.77,43.16,44.74,44.26,44.91,37.81
42.95,41.12,40.95,38.32,44.15,44.88,43.14,43.03,42.73,42.69,41.84,45.34,45.79,46.23,48.63,86.96,100.00,88.67,84.03,82.83,45.82,45.42,41.24,41.65,54.61,43.11,44.74,40.81,46.40,46.00,41.75,47.24,45.54,46.29,41.87
44.40,41.93,38.84,38.11,43.61,53.10,48.62,48.97,48.01,49.66,41.45,46.18,49.54,44.86,50.19,83.57,88.67,100.00,85.47,80.18,42.72,42.40,39.41,37.40,55.25,41.51,42.26,38.93,50.03,44.20,38.33,41.12,42.84,40.09,39.59
41.72,42.04,41.08,44.91,44.37,49.21,46.31,46.47,44.19,47.65,44.09,46.30,47.18,47.17,50.10,80.87,84.03,85.47,100.00,79.03,46.35,43.65,39.09,42.43,58.87,39.23,39.67,35.65,46.97,40.43,41.43,45.32,45.94,44.09,42.91
52.79,45.98,44.79,45.11,47.40,47.27,46.84,44.40,39.51,43.06,44.91,49.07,47.02,46.77,50.13,78.46,82.83,80.18,79.03,100.00,41.72,43.16,40.75,39.01,50.05,39.95,39.06,37.01,44.42,41.98,44.55,48.63,46.79,48.06,45.33
41.07,42.78,43.07,45.89,41.33,44.07,39.14,41.90,41.82,47.11,43.35,44.11,41.71,44.09,43.79,44.29,45.82,42.72,46.35,41.72,100.00,85.98,80.43,89.07,78.05,42.10,43.62,42.57,48.05,39.69,43.41,44.38,42.80,42.24,44.70
48.67,45.86,44.67,50.26,42.88,40.66,38.95,43.16,41.86,47.86,42.02,42.02,43.57,45.97,41.88,45.59,45.42,42.40,43.65,43.16,85.98,100.00,83.94,86.97,81.29,44.49,43.32,45.64,48.21,39.28,41.23,43.67,38.51,39.26,45.12
45.82,43.32,41.76,47.17,42.29,39.51,40.24,37.36,36.39,43.40,45.94,48.80,48.59,49.96,43.48,43.64,41.24,39.41,39.09,40.75,80.43,83.94,100.00,81.87,74.13,47.98,48.31,44.68,46.75,45.29,47.12,45.31,46.70,47.82,47.58
42.93,46.07,43.76,47.65,41.57,42.01,42.72,45.20,45.64,50.35,44.97,47.11,44.74,44.59,43.42,39.92,41.65,37.40,42.43,39.01,89.07,86.97,81.87,100.00,79.16,42.63,45.03,41.69,45.65,36.68,40.07,44.57,41.33,42.08,42.90
48.07,44.06,38.04,46.05,42.59,45.09,40.65,41.13,39.22,48.33,41.33,46.26,45.13,46.52,45.06,54.11,54.61,55.25,58.87,50.05,78.05,81.29,74.13,79.16,100.00,42.93,41.50,40.31,46.21,40.10,38.23,40.47,40.33,36.89,41.56
44.73,44.25,47.12,48.21,48.02,43.27,42.04,45.93,44.29,39.65,47.62,42.12,46.77,42.84,46.63,43.78,43.11,41.51,39.23,39.95,42.10,44.49,47.98,42.63,42.93,100.00,89.00,88.66,80.92,81.41,44.88,44.01,42.88,42.71,42.51
43.07,47.12,47.75,46.06,47.31,48.36,44.85,50.04,48.23,44.79,45.06,38.13,44.37,42.15,42.84,46.92,44.74,42.26,39.67,39.06,43.62,43.32,48.31,45.03,41.50,89.00,100.00,86.68,81.65,81.45,47.54,40.75,41.78,44.26,38.31
42.28,43.51,44.65,42.37,42.76,48.71,42.43,47.78,46.10,43.14,49.05,43.28,46.05,45.55,46.27,43.32,40.81,38.93,35.65,37.01,42.57,45.64,44.68,41.69,40.31,88.66,86.68,100.00,82.40,78.98,48.72,47.17,46.62,48.59,45.82
37.02,38.64,40.47,39.56,37.90,47.99,41.39,47.87,45.79,43.96,50.07,46.41,45.40,43.61,49.18,46.95,46.40,50.03,46.97,44.42,48.05,48.21,46.75,45.65,46.21,80.92,81.65,82.40,100.00,74.39,43.76,43.66,44.81,46.48,44.48
45.85,44.94,44.85,46.38,47.28,47.26,46.58,48.11,46.24,48.24,46.50,42.14,45.86,44.97,44.59,47.77,46.00,44.20,40.43,41.98,39.69,39.28,45.29,36.68,40.10,81.41,81.45,78.98,74.39,100.00,53.07,47.50,46.20,49.31,43.35
