70.73,72.01,73.74,74.77,66.91,72.05,73.20,75.93,78.29,70.71,75.84,75.07,74.49,78.88,75.84,100.00,77.57,81.61,81.34,85.60,78.28,71.55,69.58,73.49,74.70,74.93,73.73,78.09,77.13,74.04,73.74,74.31,69.96,71.69,69.80,76.37,74.55,75.63,78.29,74.76
74.12,69.28,75.47,76.36,71.72,73.69,73.78,76.48,76.56,69.77,76.22,75.31,76.28,76.74,74.96,77.57,100.00,83.70,80.96,86.17,71.66,73.86,66.11,74.32,72.10,71.85,76.64,77.91,75.69,76.28,76.10,76.59,73.45,69.44,75.45,79.07,74.65,80.62,79.52,79.42
74.45,73.32,75.33,80.17,68.69,75.12,74.36,76.24,78.19,72.31,77.86,75.84,79.04,78.67,77.98,81.61,83.70,100.00,85.68,82.02,79.09,76.16,72.68,81.08,75.39,77.39,76.52,79.23,78.40,76.81,76.15,76.15,71.04,71.77,74.66,76.70,72.63,75.90,75.10,78.05
75.09,72.43,75.33,79.62,68.52,70.47,72.45,76.41,74.48,70.40,75.11,73.83,77.79,78.26,73.23,81.34,80.96,85.68,100.00,83.39,73.87,70.00,70.86,76.19,72.99,74.00,75.48,79.22,76.75,73.98,78.00,77.00,70.40,71.37,72.40,74.25,72.14,75.88,75.01,76.67
74.38,75.48,77.11,78.30,73.71,72.81,74.96,79.15,76.20,72.41,75.99,73.05,74.13,76.97,71.35,85.60,86.17,82.02,83.39,100.00,74.00,73.46,67.70,74.33,73.12,73.99,76.64,78.59,75.50,74.67,76.73,76.17,71.10,71.51,71.19,80.32,73.88,79.42,81.25,78.24
71.56,70.05,75.71,74.75,70.15,75.20,77.19,77.51,75.15,70.50,71.43,74.12,74.37,74.87,72.26,78.28,71.66,79.09,73.87,74.00,100.00,80.91,77.12,79.27,82.25,75.16,76.72,75.06,72.20,75.62,72.61,76.19,70.76,71.88,71.19,76.28,70.95,78.82,72.71,82.35
64.89,65.38,66.61,71.41,63.99,73.10,68.96,72.72,69.93,67.15,67.90,70.96,71.69,73.42,69.92,71.55,73.86,76.16,70.00,73.46,80.91,100.00,77.02,77.51,75.22,69.27,72.68,69.91,71.82,66.46,69.53,68.66,69.28,63.99,72.09,74.24,71.12,74.19,73.94,76.59
71.00,65.87,71.27,68.86,65.64,79.30,71.96,76.31,74.94,74.26,66.82,70.05,73.02,70.44,67.79,69.58,66.11,72.68,70.86,67.70,77.12,77.02,100.00,80.88,77.97,74.08,72.11,72.33,73.52,67.95,76.39,75.90,70.90,71.21,71.51,71.55,69.13,72.88,71.00,74.26
74.71,70.39,76.34,78.30,70.21,79.78,74.99,75.58,73.72,75.66,75.96,74.00,78.91,75.63,76.23,73.49,74.32,81.08,76.19,74.33,79.27,77.51,80.88,100.00,80.46,80.05,79.38,77.63,77.28,75.28,76.97,76.28,76.44,73.46,74.14,77.26,74.92,77.21,76.93,80.00
70.27,65.56,74.57,72.27,71.62,74.67,75.77,74.57,76.11,72.11,73.07,69.92,70.14,71.30,70.77,74.70,72.10,75.39,72.99,73.12,82.25,75.22,77.97,80.46,100.00,74.47,74.85,75.02,76.14,76.70,73.36,74.52,72.20,69.59,69.73,70.21,70.95,74.24,69.56,75.46
75.29,71.42,76.80,70.22,73.48,77.33,74.55,75.06,73.56,69.83,74.53,78.31,71.37,76.07,74.95,74.93,71.85,77.39,74.00,73.99,75.16,69.27,74.08,80.05,74.47,100.00,77.42,85.90,79.42,80.06,73.69,74.13,72.79,67.26,69.47,76.22,69.91,74.55,76.27,77.44
71.19,70.49,73.41,77.30,69.93,76.42,77.51,75.28,77.02,73.72,76.75,76.07,71.72,76.72,73.77,73.73,76.64,76.52,75.48,76.64,76.72,72.68,72.11,79.38,74.85,77.42,100.00,82.95,79.07,82.51,73.77,73.91,74.06,68.16,68.27,76.83,75.55,72.33,75.65,76.74
75.16,69.83,76.23,74.19,72.54,78.14,75.26,75.28,75.27,71.62,76.69,75.46,73.47,75.83,74.44,78.09,77.91,79.23,79.22,78.59,75.06,69.91,72.33,77.63,75.02,85.90,82.95,100.00,81.74,83.92,79.01,76.41,76.39,69.13,70.83,76.24,72.62,77.29,77.73,76.97
77.41,69.68,73.31,73.23,71.33,76.80,69.45,73.47,77.22,70.12,77.25,75.53,72.85,72.42,76.63,77.13,75.69,78.40,76.75,75.50,72.20,71.82,73.52,77.28,76.14,79.42,79.07,81.74,100.00,79.99,75.80,71.26,73.89,68.30,72.78,72.93,71.92,76.49,76.08,76.17
71.69,64.32,72.87,74.24,70.60,75.05,75.36,70.47,73.86,67.72,75.30,72.79,74.56,75.42,71.27,74.04,76.28,76.81,73.98,74.67,75.62,66.46,67.95,75.28,76.70,80.06,82.51,83.92,79.99,100.00,72.97,74.86,69.45,70.44,71.52,71.17,73.68,74.27,74.20,75.10
75.72,72.51,76.01,75.15,68.51,74.55,74.72,77.17,76.88,69.86,71.57,73.31,76.61,76.84,73.78,73.74,76.10,76.15,78.00,76.73,72.61,69.53,76.39,76.97,73.36,73.69,73.77,79.01,75.80,72.97,100.00,82.75,75.48,77.69,77.26,74.39,70.33,76.70,72.45,72.82
73.86,72.71,73.48,75.74,72.22,77.45,74.36,80.31,74.93,71.66,72.18,74.81,72.22,78.08,70.50,74.31,76.59,76.15,77.00,76.17,76.19,68.66,75.90,76.28,74.52,74.13,73.91,76.41,71.26,74.86,82.75,100.00,80.84,77.44,77.63,74.99,70.68,77.88,75.29,75.38
